Package,Value,Rotation,LCSC Part Number
D_SOD-123,4148,0,C81598
HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,0,C165948
R_0603_1608Metric,0.1 µF,0,C14663
R_0603_1608Metric,10 kΩ,0,C25803
R_0603_1608Metric,5.1 kΩ,0,C23186
SOT-143,SR05,180,C521962
SOT-23,MCP1700T-3302E/TT,0,C5446
Crystal_SMD_3225-4Pin_3.2x2.5mm,16 MHz,0,C13738
Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,0,None
R_0603_1608Metric,10 µF,0,C19702
R_0603_1608Metric,22 pF,0,C1653
R_0603_1608Metric,1 µF,0,C15849
TQFP-44_10x10mm_P0.8mm,ATMEGA32U4-AU,90,C44854
